Arabic,English
kitab,book
qalam,pen
shams,sun
qamar,moon
samaa',sky
ard,earth
maa',water
naar,fire
hawa',air
shajarah,tree
zahrah,flower
wardah,rose
tawilah,table
kursi,chair
bab,door
naafidhah,window
bayt,house
shari',street
sayyarah,car
qitaar,train
ta'irah,airplane
matar,airport
madrasa,school
jamia'ah,university
talib,student
mu'allim,teacher
daftar,notebook
sa'ah,clock
waqt,time
yawm,day
layl,night
sabah,morning
masa',evening
usbuu',week
shahr,month
sanah,year
tifl,child
rajul,man
imra'ah,woman
sadiq,friend
aduww,enemy
hubb,love
salaam,peace
harb,war
ta'am,food
sharab,drink
tuffah,apple
mawz,banana
burtuqal,orange
inab,grape
lahm,meat
samak,fish
khubz,bread
milh,salt
sukkar,sugar
qahwah,coffee
shai,tea
laban,milk
matbakh,kitchen
hammam,bathroom
ghurfah,room
sarir,bed
mir'ah,mirror
malabis,clothes
hitha',shoe
qubba'ah,hat
nadharah,glasses
sa'ah,watch
miftah,key
hatif,phone
hasub,computer
internet,internet
risalah,message
surah,picture
film,movie
musiqa,music
ughniyah,song
raqs,dance
riyadah,sport
kurah,ball
sibahah,swimming
jabal,mountain
bahr,sea
nahr,river
sahra',desert
ghabah,forest
hayawan,animal
kalb,dog
qittah,cat
hisan,horse
baqarah,cow
ta'ir,bird
samakah,fish
nahlah,bee
farashah,butterfly
dhubab,fly
namlah,ant
thu'ban,snake
asad,lion
nimr,tiger
fil,elephant
qird,monkey
najma,star
samaa,sky
jibaal,mountains
ghaaba,forest
shajara,tree
warda,rose
zahra,flower
ushb,grass
raml,sand
thalj,snow
matar,rain
riyaah,wind
taqs,weather
sayf,summer
shitaa',winter
rabee',spring
khareef,autumn
nahaar,daytime
sabaah,morning
masaa',evening
saa'a,hour
daqeeqa,minute
thaaniya,second
usboo',week
sana,year
tareekh,date
ams,yesterday
alyawm,today
ghadan,tomorrow
baab,door
naafidha,window
ghurfa,room
sareer,bed
taawila,table
jidaar,wall
saqf,ceiling
ardhiya,floor
misbaah,lamp
mir'aa,mirror
sitaara,curtain
sajjaad,carpet
miftaah,key
qufl,lock
daraj,drawer
khazaana,closet
thallaaja,refrigerator
furn,oven
mawqid,stove
maghsala,sink
saaboon,soap
manshafa,towel
murattib,moisturizer
fursha,brush
misht,comb
maraheedh,toilets
maa' saakhin,hot water
maa' baarid,cold water
marwaha,fan
tilfaaz,television
haatif,phone
hasoob,computer
lawhat mafateeh,keyboard
fa'ra,mouse
shaasha,screen
taabi'a,printer
mukabbir sawt,speaker
kaamira,camera
batariyya,battery
shaahin,charger
kaabl,cable
mawqi',website
bareed elektronikiy,email
kalimat muroor,password
milaf,file
mujallad,folder
taḥmeel,download
raf',upload
tasjeel al-dukhool,login
tasjeel al-khurooj,logout
i‘daadat,settings
musa‘ada,help
bahth,search
lugha,language
tarjama,translation
turaab,soil
sahraa',desert
barq,lightning
ra'd,thunder
nahaar,day
insaan,human
imra'a,woman
walad,boy
bint,girl
usra,family
ab,father
umm,mother
akh,brother
ukht,sister
jadd,grandfather
jadda,grandmother
madeena,city
qarya,village
shaari',street
tareeq,road
jisr,bridge
mahattah,station
sayyaara,car
taa'ira,airplane
darraaja,bicycle
haafila,bus
maktab,office
jaami'a,university
maktaba,library
masjid,mosque
kaneesa,church
