AlertTimestamp,StoreID,ReportMonth,StoreLocation,StoreCategory,Metric,ObservedValue,Threshold,Operator,BreachAmount,Severity,RecommendedAction
2026-05-28 12:31:54,STORE-0692,2026-01-31,San Francisco,Grocery,Runway Months,6.44,12.0,<,5.56,CRITICAL,"Cash runway is shorter than target; raise margin, cut cost, or increase revenue coverage."
2026-05-28 12:31:54,STORE-0414,2024-11-30,Los Angeles,Electronics,Runway Months,6.46,12.0,<,5.54,CRITICAL,"Cash runway is shorter than target; raise margin, cut cost, or increase revenue coverage."
2026-05-28 12:31:54,STORE-0940,2024-09-30,San Francisco,Grocery,Runway Months,7.26,12.0,<,4.74,CRITICAL,"Cash runway is shorter than target; raise margin, cut cost, or increase revenue coverage."
2026-05-28 12:31:54,STORE-0673,2024-06-30,Palo Alto,Grocery,Runway Months,7.55,12.0,<,4.45,CRITICAL,"Cash runway is shorter than target; raise margin, cut cost, or increase revenue coverage."
2026-05-28 12:31:54,STORE-0593,2025-10-31,Los Angeles,Grocery,Runway Months,8.05,12.0,<,3.95,CRITICAL,"Cash runway is shorter than target; raise margin, cut cost, or increase revenue coverage."
2026-05-28 12:31:54,STORE-0809,2025-10-31,Sacramento,Electronics,Runway Months,8.09,12.0,<,3.91,CRITICAL,"Cash runway is shorter than target; raise margin, cut cost, or increase revenue coverage."
2026-05-28 12:31:54,STORE-1165,2025-06-30,Palo Alto,Grocery,Runway Months,8.12,12.0,<,3.88,CRITICAL,"Cash runway is shorter than target; raise margin, cut cost, or increase revenue coverage."
2026-05-28 12:31:54,STORE-1478,2025-07-31,Palo Alto,Electronics,Runway Months,8.16,12.0,<,3.84,CRITICAL,"Cash runway is shorter than target; raise margin, cut cost, or increase revenue coverage."
2026-05-28 12:31:54,STORE-1085,2024-10-31,Palo Alto,Electronics,Runway Months,8.39,12.0,<,3.61,CRITICAL,"Cash runway is shorter than target; raise margin, cut cost, or increase revenue coverage."
2026-05-28 12:31:54,STORE-0111,2025-08-31,San Francisco,Grocery,Runway Months,8.5,12.0,<,3.5,CRITICAL,"Cash runway is shorter than target; raise margin, cut cost, or increase revenue coverage."
